size,levels,depth,babo_ns,liqui_ns,babo_mps,liqui_mps,babo_seconds,liqui_seconds,speedup
1000,64,15,40.4,192.0,24.7525,5.2083,4e-05,0.000192,4.752475247524752
2000,64,31,46.1,223.85,21.692,4.4673,9.2e-05,0.000448,4.855748373101952
5000,64,78,66.74,335.16,14.9835,2.9836,0.000334,0.001676,5.0218759364698835
10000,64,156,80.47,543.39,12.427,1.8403,0.000805,0.005434,6.752702870635019
20000,64,312,87.18,1122.615,11.4705,0.8908,0.001744,0.022452,12.876978664831382
50000,64,781,74.576,3025.118,13.4091,0.3306,0.003729,0.151256,40.56422977901738
100000,64,1562,111.049,6621.25,9.005,0.151,0.011105,0.662125,59.62458014029842
200000,64,3125,251.532,18640.302,3.9756,0.0536,0.050306,3.72806,74.10707981489432
