size,levels,depth,babo_ns,liqui_ns,babo_mps,liqui_mps,babo_seconds,liqui_seconds,speedup
1000,64,15,50.0,113.541,20.0,8.8074,5e-05,0.000114,2.27082
2000,64,31,46.375,151.688,21.5633,6.5925,9.3e-05,0.000303,3.270900269541779
5000,64,78,53.617,258.158,18.6509,3.8736,0.000268,0.001291,4.8148534979577375
10000,64,156,46.562,437.867,21.4765,2.2838,0.000466,0.004379,9.403956015635067
20000,64,312,37.471,647.831,26.6874,1.5436,0.000749,0.012957,17.28886338768648
50000,64,781,29.872,1645.968,33.4765,0.6075,0.001494,0.082298,55.10069630423139
100000,64,1562,30.534,3333.761,32.7502,0.3,0.003053,0.333376,109.18192834217594
200000,64,3125,58.032,7153.265,17.2318,0.1398,0.011606,1.430653,123.26414736696996
