size,levels,depth,babo_ns,liqui_ns,babo_mps,liqui_mps,babo_seconds,liqui_seconds,speedup
1000,64,15,36.549,171.403,27.3605,5.8342,3.7e-05,0.000171,4.689676872144244
2000,64,31,40.747,220.521,24.5417,4.5347,8.1e-05,0.000441,5.411956708469335
5000,64,78,48.261,377.658,20.7207,2.6479,0.000241,0.001888,7.825324796419469
10000,64,156,58.047,682.971,17.2273,1.4642,0.00058,0.00683,11.765827691353559
20000,64,312,65.734,1305.243,15.2129,0.7661,0.001315,0.026105,19.85643654729668
50000,64,781,76.737,3422.003,13.0315,0.2922,0.003837,0.1711,44.59391167233539
100000,64,1562,92.466,7867.299,10.8148,0.1271,0.009247,0.78673,85.08315488936475
200000,64,3125,150.349,21871.898,6.6512,0.0457,0.03007,4.37438,145.47418339995613
